,date,state,positive,negative,death,hospitalized
1,20210307,AL,499819,1931711,10148,45976
2,20210307,AR,324818,2480716,5319,14926
4,20210307,AZ,826454,3073010,16328,57907
6,20210307,CO,436602,2199458,5989,23904
10,20210307,FL,1909209,9339038,32266,82237
15,20210307,ID,172931,505964,1879,7184
17,20210307,IN,667262,2483156,12737,43217
18,20210307,KS,295861,974686,4812,9387
21,20210307,MA,591356,4404792,16417,19713
22,20210307,MD,387319,3034546,7955,35651
25,20210307,MN,490011,3058514,6550,25978
27,20210307,MP,145,17429,2,4
28,20210307,MS,297581,1459374,6808,9162
31,20210307,ND,100391,305912,1478,3880
32,20210307,NE,203026,771128,2113,6237
33,20210307,NH,76861,579582,1184,1131
34,20210307,NJ,812609,10186941,23574,64396
39,20210307,OK,428997,3146300,4534,24332
43,20210307,RI,128781,677570,2547,9020
44,20210307,SC,525865,4657179,8754,20725
45,20210307,SD,113589,314540,1900,6705
48,20210307,UT,374850,1560293,1976,14891
53,20210307,WI,621654,2647864,7106,26457
55,20210307,WY,54764,182264,682,1391
57,20210306,AL,499411,1929624,10149,45976
58,20210306,AR,324653,2477449,5297,14915
60,20210306,AZ,825119,3059332,16323,57863
62,20210306,CO,435762,2199458,5986,23886
66,20210306,FL,1905185,9319872,32200,82145
71,20210306,ID,172827,505429,1876,7179
73,20210306,IN,666516,2478513,12726,43153
74,20210306,KS,295861,974686,4812,9387
77,20210306,MA,589931,4396764,16374,19713
78,20210306,MD,386610,3032496,7941,35572
81,20210306,MN,489116,3050296,6546,25976
83,20210306,MP,144,17429,2,4
84,20210306,MS,297321,1459374,6805,9162
87,20210306,ND,100357,306021,1478,3878
88,20210306,NE,202653,770586,2113,6229
89,20210306,NH,76695,579186,1181,1127
90,20210306,NJ,810090,10186941,23557,64338
95,20210306,OK,428536,3146300,4534,24277
99,20210306,RI,128516,676149,2547,9020
100,20210306,SC,524457,4631323,8719,20659
101,20210306,SD,113378,314016,1898,6692
104,20210306,UT,374438,1557089,1975,14867
109,20210306,WI,621277,2644343,7102,26432
111,20210306,WY,54764,182264,682,1391
113,20210305,AL,498887,1924758,10122,45976
114,20210305,AR,324326,2472738,5283,14903
116,20210305,AZ,823384,3050890,16269,57819
118,20210305,CO,434654,2193953,5986,23863
122,20210305,FL,1900598,9296590,32093,81902
127,20210305,ID,172587,504925,1876,7164
129,20210305,IN,665285,2473358,12697,43104
130,20210305,KS,295861,974686,4812,9387
133,20210305,MA,588209,4388938,16322,19713
134,20210305,MD,385678,3024949,7930,35378
137,20210305,MN,488170,3043308,6534,25938
139,20210305,MP,144,17429,2,4
140,20210305,MS,296745,1459374,6783,9162
143,20210305,ND,100278,305910,1478,3875
144,20210305,NE,202310,769232,2112,6226
145,20210305,NH,76422,577690,1178,1126
146,20210305,NJ,806370,10186941,23521,65254
151,20210305,OK,427558,3135060,4534,24157
155,20210305,RI,128121,674515,2541,9020
156,20210305,SC,523258,4603549,8699,20605
157,20210305,SD,113229,313260,1896,6681
160,20210305,UT,373868,1553533,1970,14841
165,20210305,WI,620663,2642182,7094,26387
167,20210305,WY,54764,182264,682,1391
169,20210304,AL,498076,1920535,10094,45807
170,20210304,AR,323756,2464286,5273,14876
172,20210304,AZ,821108,3032112,16185,57747
174,20210304,CO,433021,2188741,5974,23791
178,20210304,FL,1894722,9269680,31955,81600
183,20210304,ID,172288,503691,1876,7144
185,20210304,IN,664446,2468877,12663,43044
186,20210304,KS,295109,969651,4816,9355
189,20210304,MA,586310,4380031,16296,19713
190,20210304,MD,384765,3018120,7922,35304
193,20210304,MN,487374,3035998,6521,25896
195,20210304,MP,144,17429,2,4
196,20210304,MS,296154,1459374,6764,9162
199,20210304,ND,100184,305598,1478,3875
200,20210304,NE,201973,768130,2092,6157
201,20210304,NH,76178,577245,1178,1127
202,20210304,NJ,802669,10096351,23491,64137
207,20210304,OK,426641,3126761,4534,24103
211,20210304,RI,127727,673128,2539,9002
212,20210304,SC,521563,4578250,8660,20542
213,20210304,SD,113065,312421,1896,6664
216,20210304,UT,372708,1549760,1955,14783
221,20210304,WI,619942,2639148,7082,26330
223,20210304,WY,54685,181957,682,1389
225,20210303,AL,497154,1915545,10029,45723
226,20210303,AR,323353,2455309,5261,14826
228,20210303,AZ,819954,3022710,16089,57697
230,20210303,CO,431670,2183138,5970,23735
234,20210303,FL,1888725,9243230,31829,81278
239,20210303,ID,171836,502595,1871,7131
241,20210303,IN,663511,2464082,12633,42955
242,20210303,KS,295109,969651,4816,9355
245,20210303,MA,584743,4371477,16252,19713
246,20210303,MD,383956,3012179,7919,35223
249,20210303,MN,486434,3021554,6507,25863
251,20210303,MP,144,17429,2,4
252,20210303,MS,295675,1459374,6743,9162
255,20210303,ND,100067,305504,1478,3871
256,20210303,NE,201608,766781,2091,6147
257,20210303,NH,75990,575625,1175,1123
258,20210303,NJ,799476,10096351,23449,64050
263,20210303,OK,425746,3116303,4534,24064
267,20210303,RI,127285,671542,2534,8982
268,20210303,SC,519996,4558148,8620,20501
269,20210303,SD,112833,311512,1893,6654
272,20210303,UT,372708,1545558,1955,14783
277,20210303,WI,619087,2634999,7069,26279
279,20210303,WY,54616,181681,682,1388
281,20210302,AL,494421,1908302,9991,45699
282,20210302,AR,322949,2448042,5254,14795
284,20210302,AZ,818670,3007671,16060,57591
286,20210302,CO,430615,2178555,5959,23593
290,20210302,FL,1882865,9225981,31696,80972
295,20210302,ID,171462,501356,1867,7111
297,20210302,IN,662750,2460279,12623,42862
298,20210302,KS,294302,964803,4743,9290
301,20210302,MA,582844,4362966,16182,19444
302,20210302,MD,383170,3006690,7905,35152
305,20210302,MN,485655,3017033,6490,25826
307,20210302,MP,143,17429,2,4
308,20210302,MS,295295,1459374,6724,9162
311,20210302,ND,99957,305430,1477,3874
312,20210302,NE,201346,765676,2084,6140
313,20210302,NH,75803,576072,1170,1119
314,20210302,NJ,795785,9983526,23321,63917
319,20210302,OK,424999,3100280,4534,23999
323,20210302,RI,126849,670284,2525,8966
324,20210302,SC,518823,4549598,8576,20428
325,20210302,SD,112652,310811,1888,6640
328,20210302,UT,371979,1541145,1949,14753
333,20210302,WI,618307,2631712,7050,26222
335,20210302,WY,54527,181403,682,1385
337,20210301,AL,493769,1905141,9931,45648
338,20210301,AR,322509,2444369,5250,14763
340,20210301,AZ,817821,3002212,15979,57589
342,20210301,CO,429839,2175502,5952,23550
346,20210301,FL,1875818,9192789,31556,80659
351,20210301,ID,171140,500096,1860,7076
353,20210301,IN,662213,2457982,12595,42815
354,20210301,KS,294302,964803,4743,9290
357,20210301,MA,582543,4355357,16144,19444
358,20210301,MD,382702,3003717,7879,35069
361,20210301,MN,485230,3015197,6486,25727
363,20210301,MP,143,17429,2,4
364,20210301,MS,294994,1459374,6681,9012
367,20210301,ND,99852,305019,1475,3871
368,20210301,NE,200946,764460,2082,6106
369,20210301,NH,75588,575922,1170,1118
370,20210301,NJ,792496,9868082,23273,63777
375,20210301,OK,424888,3084829,4478,23995
379,20210301,RI,126588,669132,2517,8947
380,20210301,SC,517976,4535334,8562,20406
381,20210301,SD,112470,310347,1888,6632
384,20210301,UT,371492,1538003,1940,14724
389,20210301,WI,617700,2629622,7014,26158
391,20210301,WY,54471,181196,671,1384
393,20210228,AL,493252,1903691,9929,45428
394,20210228,AR,322415,2441857,5243,14763
396,20210228,AZ,816782,2996831,15980,57599
398,20210228,CO,428303,2172628,5951,23476
402,20210228,FL,1874154,9185534,31406,80572
407,20210228,ID,171140,500096,1860,7076
409,20210228,IN,661673,2455528,12573,42775
410,20210228,KS,293663,960800,4735,9249
413,20210228,MA,581148,4348539,16118,19444
414,20210228,MD,382099,2999585,7869,35000
417,20210228,MN,484594,3008703,6483,25719
419,20210228,MP,143,17429,2,4
420,20210228,MS,294795,1436186,6681,9012
423,20210228,ND,99809,304951,1472,3867
424,20210228,NE,200848,764004,2082,6102
425,20210228,NH,75424,576603,1170,1118
426,20210228,NJ,789356,9868082,23252,63713
431,20210228,OK,424508,3084829,4428,23985
435,20210228,RI,126436,668442,2514,8900
436,20210228,SC,516823,4510915,8530,20387
437,20210228,SD,112427,310122,1888,6626
440,20210228,UT,371235,1535603,1935,14695
445,20210228,WI,617367,2626796,7014,26127
447,20210228,WY,54394,180826,671,1382
449,20210227,AL,492683,1900915,9930,45428
450,20210227,AR,319195,2389866,5417,14763
452,20210227,AZ,815707,2986896,15967,57508
454,20210227,CO,427462,2167955,5945,23459
458,20210227,FL,1868769,9162962,31280,80467
463,20210227,ID,170907,499231,1859,7065
465,20210227,IN,660942,2451232,12556,42736
466,20210227,KS,293663,960800,4735,9249
469,20210227,MA,579680,4340080,16067,19444
470,20210227,MD,381272,2993098,7856,34927
473,20210227,MN,483790,2999036,6475,25714
475,20210227,MP,143,17429,2,4
476,20210227,MS,294091,1436186,6669,9012
479,20210227,ND,99780,304810,1472,3866
480,20210227,NE,200681,763406,2082,6099
481,20210227,NH,75166,576446,1170,1114
482,20210227,NJ,786967,9868082,23238,63664
487,20210227,OK,423802,3084829,4379,23909
491,20210227,RI,126093,666805,2512,8900
492,20210227,SC,515072,4485388,8498,20340
493,20210227,SD,112293,309734,1886,6610
496,20210227,UT,370770,1532559,1929,14664
501,20210227,WI,616886,2623498,7014,26088
503,20210227,WY,54350,180826,671,1381
505,20210226,AL,491849,1896419,9869,45428
506,20210226,AR,318638,2382628,5407,14747
508,20210226,AZ,814528,2980441,15897,57460
510,20210226,CO,426198,2162933,5940,23438
514,20210226,FL,1863453,9137648,31162,80238
519,20210226,ID,170595,498100,1850,7057
521,20210226,IN,660071,2446355,12531,42708
522,20210226,KS,293663,960800,4735,9249
525,20210226,MA,577980,4331641,16024,19444
526,20210226,MD,380436,2986551,7838,34848
529,20210226,MN,482978,2993564,6462,25683
531,20210226,MP,143,17429,2,4
532,20210226,MS,293542,1436186,6638,9012
535,20210226,ND,99711,304347,1472,3864
536,20210226,NE,200403,762246,2078,6088
537,20210226,NH,74893,575460,1167,1109
538,20210226,NJ,782833,9807667,23192,63560
543,20210226,OK,423023,3077988,4320,23879
547,20210226,RI,125622,665579,2502,8900
548,20210226,SC,513295,4453146,8477,20275
549,20210226,SD,112107,309181,1879,6591
552,20210226,UT,370084,1529094,1907,14628
557,20210226,WI,616018,2620297,6999,26013
559,20210226,WY,54350,180826,671,1381
561,20210225,AL,491110,1891548,9831,45312
562,20210225,AR,318122,2376434,5397,14714
564,20210225,AZ,812907,2970392,15814,57390
566,20210225,CO,424677,2156899,5925,23385
570,20210225,FL,1857670,9110793,31018,79956
575,20210225,ID,170289,497063,1840,7044
577,20210225,IN,659127,2440984,12494,42672
578,20210225,KS,292837,955931,4724,9189
581,20210225,MA,575993,4322172,15978,19444
582,20210225,MD,379466,2979131,7805,34759
585,20210225,MN,481831,2984254,6450,25625
587,20210225,MP,143,17429,2,4
588,20210225,MS,292811,1436186,6613,9012
591,20210225,ND,99621,303910,1471,3863
592,20210225,NE,200106,760841,2063,6082
593,20210225,NH,74568,574809,1163,1106
594,20210225,NJ,778963,9756055,23147,63441
599,20210225,OK,422156,3034289,4302,23813
603,20210225,RI,125185,663947,2496,8875
604,20210225,SC,511546,4421446,8443,20195
605,20210225,SD,111964,308601,1872,6589
608,20210225,UT,369433,1525558,1890,14597
613,20210225,WI,615225,2615455,6994,25954
615,20210225,WY,54202,180468,671,1377
617,20210224,AL,490220,1885151,9744,45250
618,20210224,AR,317396,2367951,5387,14649
620,20210224,AZ,811968,2960197,15693,57156
622,20210224,CO,423558,2149917,5917,23349
626,20210224,FL,1851151,9080964,30878,79675
631,20210224,ID,169866,495851,1840,7033
633,20210224,IN,658043,2435646,12467,42635
634,20210224,KS,292837,955931,4724,9189
637,20210224,MA,573885,4311159,15945,19444
638,20210224,MD,378490,2972600,7789,34672
641,20210224,MN,480845,2972750,6443,25579
643,20210224,MP,143,17429,2,4
644,20210224,MS,291891,1436186,6605,9012
647,20210224,ND,99531,303582,1470,3860
648,20210224,NE,199782,759715,2054,6059
649,20210224,NH,74258,573210,1157,1101
650,20210224,NJ,775386,9712105,23077,63252
655,20210224,OK,421010,3024431,4264,23768
659,20210224,RI,124718,662136,2487,8850
660,20210224,SC,509044,4396259,8398,20117
661,20210224,SD,111808,308019,1864,6570
664,20210224,UT,368601,1521375,1879,14554
669,20210224,WI,614260,2603118,6936,25893
671,20210224,WY,53988,180228,671,1374
673,20210223,AL,488973,1882180,9660,45250
674,20210223,AR,316593,2359571,5377,14617
676,20210223,AZ,810658,2953210,15650,57072
678,20210223,CO,422390,2143029,5907,23293
682,20210223,FL,1844228,9051605,30749,79410
687,20210223,ID,169584,494773,1826,7007
689,20210223,IN,657037,2431692,12450,42557
690,20210223,KS,291715,951784,4643,9103
693,20210223,MA,571783,4299958,15883,19176
694,20210223,MD,377628,2967660,7762,34577
697,20210223,MN,480091,2967997,6434,25528
699,20210223,MP,143,17429,2,4
700,20210223,MS,291222,1436186,6577,9012
703,20210223,ND,99416,303267,1468,3859
704,20210223,NE,199402,758267,2050,6048
705,20210223,NH,73923,571901,1155,1095
706,20210223,NJ,772267,9674485,22978,63190
711,20210223,OK,420212,3009878,4227,23700
715,20210223,RI,124262,660536,2476,8835
716,20210223,SC,506912,4342713,8357,20024
717,20210223,SD,111546,307241,1863,6548
720,20210223,UT,367789,1517013,1865,14520
725,20210223,WI,613419,2598601,6910,25838
727,20210223,WY,53944,179431,671,1373
729,20210222,AL,487520,1877930,9592,45128
730,20210222,AR,315759,2355211,5363,14570
732,20210222,AZ,809474,2948102,15502,56994
734,20210222,CO,421294,2139035,5893,23183
738,20210222,FL,1838745,9029719,30595,79096
743,20210222,ID,169150,493294,1826,6983
745,20210222,IN,656358,2429196,12407,42500
746,20210222,KS,291715,951784,4643,9103
749,20210222,MA,570546,4292030,15853,19176
750,20210222,MD,376966,2964696,7732,34493
753,20210222,MN,479591,2965954,6433,25478
755,20210222,MP,143,17429,2,4
756,20210222,MS,290874,1436186,6553,8978
759,20210222,ND,99312,302972,1468,3860
760,20210222,NE,199045,757334,2047,6031
761,20210222,NH,73665,571476,1154,1093
762,20210222,NJ,769109,9566182,22874,63172
767,20210222,OK,419853,2996195,4203,23684
771,20210222,RI,123980,659066,2466,8815
772,20210222,SC,505589,4342713,8332,19994
773,20210222,SD,111334,306570,1863,6537
776,20210222,UT,367073,1513740,1853,14466
781,20210222,WI,612712,2595614,6871,25775
783,20210222,WY,53900,179431,662,1372
785,20210221,AL,486843,1875829,9592,44767
786,20210221,AR,315514,2352972,5357,14540
788,20210221,AZ,807967,2940237,15505,56946
790,20210221,CO,420614,2135251,5892,23169
794,20210221,FL,1834708,9012223,30434,78946
799,20210221,ID,169150,493294,1826,6983
801,20210221,IN,655541,2428352,12372,42445
802,20210221,KS,290832,947591,4614,9071
805,20210221,MA,569284,4284944,15826,19176
806,20210221,MD,376355,2960703,7715,34439
809,20210221,MN,479036,2960755,6432,25455
811,20210221,MP,143,17429,2,4
812,20210221,MS,290632,1393383,6553,8978
815,20210221,ND,99277,302885,1465,3857
816,20210221,NE,198949,756992,2047,6034
817,20210221,NH,73413,571296,1154,1093
818,20210221,NJ,766405,9566182,22858,63108
823,20210221,OK,419354,2996195,4181,23667
827,20210221,RI,123821,658279,2463,8870
828,20210221,SC,504149,4343561,8324,19966
829,20210221,SD,111304,306471,1863,6524
832,20210221,UT,366735,1511410,1852,14445
837,20210221,WI,612240,2592363,6871,25743
839,20210221,WY,53795,178648,662,1369
841,20210220,AL,485986,1872725,9590,44767
842,20210220,AR,315230,2350951,5348,14526
844,20210220,AZ,806163,2931160,15480,56872
846,20210220,CO,419812,2130803,5887,23156
850,20210220,FL,1829773,8989547,30339,78840
855,20210220,ID,168953,492368,1826,6973
857,20210220,IN,654660,2421585,12336,42378
858,20210220,KS,290832,947591,4614,9071
861,20210220,MA,567764,4276228,15779,19176
862,20210220,MD,375737,2956317,7697,34355
865,20210220,MN,478157,2950728,6423,25426
867,20210220,MP,135,17429,2,4
868,20210220,MS,290242,1393383,6553,8978
871,20210220,ND,99228,302687,1465,3856
872,20210220,NE,198751,756304,2047,6032
873,20210220,NH,73161,570489,1153,1092
874,20210220,NJ,764374,9566182,22834,63062
879,20210220,OK,418318,2996195,4155,23606
883,20210220,RI,123548,656943,2462,8870
884,20210220,SC,501277,4309050,8256,19899
885,20210220,SD,111165,306170,1859,6509
888,20210220,UT,366034,1507875,1842,14421
893,20210220,WI,611789,2588501,6871,25716
895,20210220,WY,53683,178648,662,1367
897,20210219,AL,485212,1867861,9573,44767
898,20210219,AR,314713,2348207,5336,14500
900,20210219,AZ,804116,2918905,15421,56732
902,20210219,CO,418695,2126610,5878,23101
906,20210219,FL,1822644,8956962,30214,78590
911,20210219,ID,168639,491263,1826,6964
913,20210219,IN,653245,2416621,12325,42333
914,20210219,KS,290832,947591,4614,9071
917,20210219,MA,565794,4267078,15726,19176
918,20210219,MD,374974,2951435,7677,34265
921,20210219,MN,477287,2943682,6412,25368
923,20210219,MP,135,17429,2,4
924,20210219,MS,289892,1393383,6534,8978
927,20210219,ND,99153,301973,1465,3847
928,20210219,NE,198442,755340,2043,6009
929,20210219,NH,72767,568939,1152,1092
930,20210219,NJ,761498,9566182,22784,62958
935,20210219,OK,417345,2992254,4132,23537
939,20210219,RI,123145,655694,2376,8870
940,20210219,SC,497937,4282791,8213,19796
941,20210219,SD,111018,305524,1853,6492
944,20210219,UT,365256,1504344,1834,14382
949,20210219,WI,610974,2584375,6852,25635
951,20210219,WY,53683,178648,662,1367
953,20210218,AL,484365,1863597,9424,44767
954,20210218,AR,314445,2346008,5323,14469
956,20210218,AZ,802198,2906702,15276,56090
958,20210218,CO,417415,2121224,5864,23047
962,20210218,FL,1816108,8929261,29990,78295
967,20210218,ID,168353,489866,1817,6947
969,20210218,IN,652210,2413132,12281,42246
970,20210218,KS,288717,940581,4521,9002
973,20210218,MA,563976,4258278,15686,19176
974,20210218,MD,373966,2944984,7661,34168
977,20210218,MN,476292,2932333,6404,25341
979,20210218,MP,135,17429,2,4
980,20210218,MS,289532,1393383,6531,8978
983,20210218,ND,99034,301973,1465,3845
984,20210218,NE,198042,754169,2025,5997
985,20210218,NH,72399,567795,1150,1085
986,20210218,NJ,758451,9502664,22721,62835
991,20210218,OK,416476,2987185,4112,23464
995,20210218,RI,122859,654308,2367,8846
996,20210218,SC,495044,4257415,8155,19701
997,20210218,SD,110871,304951,1847,6475
1000,20210218,UT,364399,1500999,1813,14343
1005,20210218,WI,610055,2579840,6816,25556
1007,20210218,WY,53531,178389,662,1364
1009,20210217,AL,483167,1859516,9346,44541
1010,20210217,AR,314192,2344576,5313,14392
1012,20210217,AZ,801055,2901236,15063,55983
1014,20210217,CO,416174,2116607,5838,22922
1018,20210217,FL,1811078,8909885,29824,77994
1023,20210217,ID,167945,488806,1806,6933
1025,20210217,IN,651453,2410555,12250,42086
1026,20210217,KS,288717,940581,4521,9002
1029,20210217,MA,561936,4249632,15623,19176
1030,20210217,MD,372980,2938416,7630,34078
1033,20210217,MN,475379,2925345,6390,25287
1035,20210217,MP,135,17429,2,4
1036,20210217,MS,289398,1393383,6524,8978
1039,20210217,ND,98901,301563,1461,3850
1040,20210217,NE,197746,753207,2018,5981
1041,20210217,NH,71965,567204,1148,1083
1042,20210217,NJ,755174,9409262,22632,62718
1047,20210217,OK,415858,2984643,4089,23392
1051,20210217,RI,122440,652800,2352,8811
1052,20210217,SC,492369,4237377,8117,19572
1053,20210217,SD,110685,304204,1844,6466
1056,20210217,UT,363248,1496497,1806,14294
1061,20210217,WI,609189,2575026,6798,25498
1063,20210217,WY,53450,178042,662,1363
1065,20210216,AL,482488,1857088,9257,44541
1066,20210216,AR,313525,2340563,5287,14392
1068,20210216,AZ,799740,2896644,14981,55865
1070,20210216,CO,415037,2112499,5828,22837
1074,20210216,FL,1803893,8881123,29659,77686
1079,20210216,ID,167483,486204,1803,6890
1081,20210216,IN,650530,2406968,12231,41840
1082,20210216,KS,287450,936782,4406,8923
1085,20210216,MA,560576,4242966,15567,18859
1086,20210216,MD,372221,2933581,7612,33980
1089,20210216,MN,474621,2920955,6380,25243
1091,20210216,MP,134,17429,2,4
1092,20210216,MS,288714,1393383,6501,8978
1095,20210216,ND,98781,301091,1461,3845
1096,20210216,NE,197447,751687,2004,5964
1097,20210216,NH,71215,566316,1136,1080
1098,20210216,NJ,751065,9333715,22497,62591
1103,20210216,OK,414780,2957605,4061,23270
1107,20210216,RI,122072,651027,2344,8786
1108,20210216,SC,490453,4228478,8055,19452
1109,20210216,SD,110593,303918,1844,6461
1112,20210216,UT,362347,1492685,1797,14239
1117,20210216,WI,608418,2570798,6788,25422
1119,20210216,WY,53351,177815,662,1361
1121,20210215,AL,481605,1853838,9244,44342
1122,20210215,AR,313348,2338955,5275,14355
1124,20210215,AZ,798608,2891627,14978,55777
1126,20210215,CO,414369,2110671,5826,22812
1130,20210215,FL,1797728,8855691,29434,77372
1135,20210215,ID,167483,486204,1803,6890
1137,20210215,IN,649652,2404277,12191,41646
1138,20210215,KS,287450,936782,4406,8923
1141,20210215,MA,559350,4237896,15517,18859
1142,20210215,MD,371705,2930738,7580,33903
1145,20210215,MN,474169,2918968,6378,25197
1147,20210215,MP,134,17429,2,4
1148,20210215,MS,287980,1393383,6464,8902
1151,20210215,ND,98643,301542,1461,3837
1152,20210215,NE,197328,751355,2003,5962
1153,20210215,NH,71017,566550,1135,1077
1154,20210215,NJ,747432,9333715,22466,62454
1159,20210215,OK,414272,2957605,4041,23256
1163,20210215,RI,121787,649920,2334,8754
1164,20210215,SC,489018,4208119,8034,19421
1165,20210215,SD,110376,303408,1844,6446
1168,20210215,UT,361756,1490407,1796,14209
1173,20210215,WI,607639,2568204,6749,25340
1175,20210215,WY,53136,175047,647,1356
1177,20210214,AL,480931,1851608,9242,44148
1178,20210214,AR,313028,2336418,5265,14332
1180,20210214,AZ,797270,2884387,14978,55667
1182,20210214,CO,413836,2107902,5824,22797
1186,20210214,FL,1794155,8840672,29275,77255
1191,20210214,ID,167483,486204,1803,6890
1193,20210214,IN,648875,2400953,12173,41604
1194,20210214,KS,286102,931487,4364,8887
1197,20210214,MA,557777,4229308,15484,18859
1198,20210214,MD,370983,2926402,7554,33808
1201,20210214,MN,473567,2913838,6376,25156
1203,20210214,MP,134,17429,2,4
1204,20210214,MS,287436,1360637,6462,8902
1207,20210214,ND,98597,301542,1461,3831
1208,20210214,NE,197236,751051,2002,5950
1209,20210214,NH,70785,566119,1133,1075
1210,20210214,NJ,745987,9333715,22454,62406
1215,20210214,OK,413542,2957605,4024,23248
1219,20210214,RI,121584,649140,2332,8689
1220,20210214,SC,487293,4184733,7998,19396
1221,20210214,SD,110315,303133,1844,6438
1224,20210214,UT,361294,1487819,1794,14189
1229,20210214,WI,607213,2564523,6745,25302
1231,20210214,WY,53136,175047,647,1356
1233,20210213,AL,479856,1848558,9242,44148
1234,20210213,AR,312562,2330865,5252,14298
1236,20210213,AZ,795323,2874760,14948,55559
1238,20210213,CO,412983,2103613,5814,22778
1242,20210213,FL,1788827,8816214,29179,77134
1247,20210213,ID,167225,485478,1796,6875
1249,20210213,IN,647657,2396197,12149,41530
1250,20210213,KS,286102,931487,4364,8887
1253,20210213,MA,555895,4219058,15424,18859
1254,20210213,MD,370136,2921351,7536,33728
1257,20210213,MN,472791,2904883,6369,25116
1259,20210213,MP,134,17429,2,4
1260,20210213,MS,286343,1360637,6461,8902
1263,20210213,ND,98551,301542,1461,3828
1264,20210213,NE,197027,750270,2002,5942
1265,20210213,NH,70505,565707,1130,1073
1266,20210213,NJ,743819,9333715,22440,62347
1271,20210213,OK,412276,2957605,3994,23150
1275,20210213,RI,121264,647615,2329,8689
1276,20210213,SC,483140,4148608,7911,19307
1277,20210213,SD,110205,302643,1838,6431
1280,20210213,UT,360584,1484833,1790,14151
1285,20210213,WI,606651,2560840,6744,25268
1287,20210213,WY,53086,175047,647,1311
1289,20210212,AL,478667,1842516,9180,44148
1290,20210212,AR,311608,2322916,5212,14278
1292,20210212,AZ,793532,2864855,14834,55413
1294,20210212,CO,411774,2098456,5790,22703
1298,20210212,FL,1781450,8787274,29061,76873
1303,20210212,ID,166876,484232,1791,6852
1305,20210212,IN,646425,2390129,12117,41459
1306,20210212,KS,286102,931487,4364,8887
1309,20210212,MA,553812,4208973,15358,18859
1310,20210212,MD,368977,2913743,7503,33629
1313,20210212,MN,471851,2897730,6362,25047
1315,20210212,MP,134,17429,2,4
1316,20210212,MS,285648,1360637,6429,8902
1319,20210212,ND,98466,301542,1461,3827
1320,20210212,NE,195485,748219,2002,5936
1321,20210212,NH,70072,565180,1126,1071
1322,20210212,NJ,740062,9267736,22393,62221
1327,20210212,OK,410818,2947634,3959,23085
1331,20210212,RI,120821,646167,2290,8689
1332,20210212,SC,480157,4115808,7894,19205
1333,20210212,SD,110068,302108,1831,6425
1336,20210212,UT,359641,1481242,1785,14103
1341,20210212,WI,605785,2557088,6734,25197
1343,20210212,WY,53086,175047,647,1311
1345,20210211,AL,477570,1836625,9021,43906
1346,20210211,AR,311043,2316686,5199,14255
1348,20210211,AZ,791106,2855265,14662,55272
1350,20210211,CO,409683,2090025,5781,22655
1354,20210211,FL,1774013,8758076,28871,76587
1359,20210211,ID,166553,482760,1791,6838
1361,20210211,IN,645006,2384937,12027,41378
1362,20210211,KS,284894,926599,4303,8840
1365,20210211,MA,551396,4198141,15269,18859
1366,20210211,MD,367865,2905931,7467,33508
1369,20210211,MN,470803,2888377,6343,24989
1371,20210211,MP,133,17429,2,4
1372,20210211,MS,284664,1360637,6390,8902
1375,20210211,ND,98353,301078,1460,3827
1376,20210211,NE,195006,746497,1990,5931
1377,20210211,NH,69612,563650,1117,1069
1378,20210211,NJ,736330,9220799,22329,62108
1383,20210211,OK,409401,2934303,3948,23020
1387,20210211,RI,120381,644307,2274,8657
1388,20210211,SC,476287,4080696,7837,19086
1389,20210211,SD,109859,301446,1829,6411
1392,20210211,UT,358581,1477067,1774,14054
1397,20210211,WI,604683,2552481,6723,25142
1399,20210211,WY,52979,174608,647,1309
1401,20210210,AL,476067,1830673,8888,43685
1402,20210210,AR,309940,2306389,5174,14211
1404,20210210,AZ,789245,2841495,14462,55088
1406,20210210,CO,407961,2076197,5770,22616
1410,20210210,FL,1765659,8727283,28691,76286
1415,20210210,ID,166095,481739,1780,6839
1417,20210210,IN,643305,2378308,12001,41292
1418,20210210,KS,284894,926599,4303,8840
1421,20210210,MA,548946,4187507,15207,18859
1422,20210210,MD,366666,2898536,7446,33398
1425,20210210,MN,469905,2878711,6319,24924
1427,20210210,MP,133,17429,2,4
1428,20210210,MS,283753,1360637,6367,8902
1431,20210210,ND,98214,300560,1459,3820
1432,20210210,NE,194632,744924,1986,5928
1433,20210210,NH,69247,561929,1116,1065
1434,20210210,NJ,732674,9183953,22250,61952
1439,20210210,OK,407724,2919356,3900,22930
1443,20210210,RI,119893,642512,2259,8615
1444,20210210,SC,473140,4061692,7742,18941
1445,20210210,SD,109580,300061,1815,6397
1448,20210210,UT,357339,1472069,1765,14007
1453,20210210,WI,603255,2546576,6705,25090
1455,20210210,WY,52874,174329,647,1306
1457,20210209,AL,474666,1825185,8579,43499
1458,20210209,AR,308848,2297201,5148,14174
1460,20210209,AZ,787268,2834530,14286,54967
1462,20210209,CO,407210,2076197,5746,22561
1466,20210209,FL,1758254,8699606,28526,76001
1471,20210209,ID,165658,480452,1776,6819
1473,20210209,IN,641874,2373511,11942,41207
1474,20210209,KS,282960,920799,4197,8749
1477,20210209,MA,546896,4178170,15124,18402
1478,20210209,MD,365529,2893656,7413,33288
1481,20210209,MN,469254,2874496,6308,24863
1483,20210209,MP,133,17429,2,4
1484,20210209,MS,282969,1360637,6342,8902
1487,20210209,ND,98175,299860,1457,3814
